cnty,abbr,year,rank,part,ppct,gply,wins,draw,lost,gold,slvr,brnz
Italy,ITA,2006,13,15,0.8823529411764706,70,39,17,14,3,2,1
France,FRA,2006,8,11,0.6470588235294118,44,21,7,16,1,0,2
Germany,GER,2006,19,15,0.8823529411764706,85,50,18,17,3,4,2
Portugal,POR,2006,7,3,0.17647058823529413,12,7,0,5,0,0,1
Brazil,BRA,2006,1,17,1,87,60,14,13,5,2,2
Argentina,ARG,2006,9,13,0.7647058823529411,60,30,11,19,2,2,0
England,ENG,2006,10,11,0.6470588235294118,50,22,15,13,1,0,0
Ukraine,UKR,2006,45,0,0,0,0,0,0,0,0,0
Spain,ESP,2006,5,11,0.6470588235294118,45,19,12,14,0,0,0
Switzerland,SUI,2006,35,7,0.4117647058823529,22,6,3,13,0,0,0
Holland,NED,2006,3,7,0.4117647058823529,32,14,9,9,0,2,0
Ecuador,ECU,2006,39,1,0.058823529411764705,3,1,0,2,0,0,0
Ghana,GHA,2006,48,0,0,0,0,0,0,0,0,0
Sweden,SWE,2006,16,10,0.5882352941176471,42,15,11,16,0,1,2
Mexico,MEX,2006,4,12,0.7058823529411765,41,10,11,20,0,0,0
Australia,AUS,2006,42,1,0.058823529411764705,3,0,1,2,0,0,0
South Korea,KOR,2006,29,6,0.35294117647058826,21,3,6,12,0,0,0
Paraguay,PAR,2006,33,6,0.35294117647058826,19,5,7,7,0,0,0
Ivory Coast,CIV,2006,32,0,0,0,0,0,0,0,0,0
Czech Republic,CZE,2006,2,8,0.47058823529411764,30,11,5,14,0,2,0
Poland,POL,2006,29,6,0.35294117647058826,28,14,5,9,0,0,2
Croatia,CRO,2006,23,2,0.11764705882352941,10,6,0,4,0,0,1
Angola,ANG,2006,57,0,0,0,0,0,0,0,0,0
Tunisia,TUN,2006,21,3,0.17647058823529413,9,1,3,5,0,0,0
USA,USA,2006,5,7,0.4117647058823529,22,6,2,14,0,0,1
Iran,IRN,2006,23,2,0.11764705882352941,6,1,1,4,0,0,0
